[2025-06-09 10:47:37] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-06-09 10:47:37] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2025-06-09 10:47:37] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-06-09 10:47:37] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-06-09 10:47:37] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-06-09 10:47:37] [class-ss-task.php:44] Status message: [setup] Mise en place
[2025-06-09 10:47:39] [class-ss-setup-task.php:33] Creating archive directory: /Users/simon/Desktop/Business/Vanilla/SiteWeb/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1749466057/
[2025-06-09 10:47:39] [class-ss-setup-task.php:72] Adding origin URL to queue: http://terrasoa.local/
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/headShake.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceIn.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/tada.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/flash.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:98] [Transfer] Total Pages:1088. Processed Pages: 150
[2025-06-09 10:48:17] [class-ss-task.php:44] Status message: [transfer_files_locally] Transferred 150 of 1088 files
[2025-06-09 10:48:17] [trait-can-process-pages.php:114] Total pages: 1088; Pages remaining: 938
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:212] We're not done with the transfer_files_locally task yet
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:172] Current task: transfer_files_locally
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:182] Performing task: transfer_files_locally
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/flash.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/jello.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/tada.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounce.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/jello.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/pulse.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/pulse.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:116] Trying to transfer: wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.css
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:119] Cannot create directory: /wp-content/plugins/elementor/assets/lib/animations/styles
[2025-06-09 10:48:17] [class-ss-transfer-files-locally-task.php:98] [Transfer] Total Pages:1088. Processed Pages: 200
[2025-06-09 10:48:17] [class-ss-task.php:44] Status message: [transfer_files_locally] Transferred 200 of 1088 files
[2025-06-09 10:48:17] [trait-can-process-pages.php:114] Total pages: 1088; Pages remaining: 888
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:212] We're not done with the transfer_files_locally task yet
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:172] Current task: transfer_files_locally
[2025-06-09 10:48:17] [class-ss-archive-creation-job.php:182] Performing task: transfer_files_locally
